00:0E:8F:FE:DE:E4,00:1D:0F:EE:5A:9A,00:6B:8E:4A:37:8C,04:8D:38:C8:40:12,14:CC:20:A5:38:EA,14:DD:A9:F3:A2:B0,3C:33:00:A7:34:E6,48:02:2A:7B:16:9C,54:67:51:BB:3E:BC,54:B8:0A:4F:ED:3C,54:B8:0A:4F:F0:D8,56:67:11:BB:3E:BC,64:66:B3:45:13:46,64:66:B3:F7:8C:BC,78:54:2E:53:1E:E2,82:F3:A3:45:D5:98,88:53:D4:05:70:01,90:5C:44:F8:E8:F6,90:F6:52:A1:53:1A,92:5C:14:F8:E8:F6,9C:B2:B2:CC:4D:E0,BC:75:74:F4:C5:E2,BC:75:74:F4:C5:E5,BC:C0:0F:63:C3:80,C0:4A:00:DE:66:4C,C8:3A:35:06:A0:50,C8:3A:35:0F:D1:C8,C8:3A:35:19:06:E0,C8:3A:35:21:B8:38,C8:3A:35:3B:13:38,C8:3A:35:3F:7A:20,C8:3A:35:55:5E:68,D0:17:C2:A4:84:FC,D4:21:22:38:D6:C4,DC:53:7C:D8:A8:2B,DE:53:1C:D8:A8:2B,E8:94:F6:29:59:0C,E8:94:F6:41:4D:0C,E8:DE:27:43:64:CE,EC:08:6B:45:56:CC,F4:F2:6D:32:01:9C,F4:F2:6D:A7:B9:02,F8:D1:11:2B:93:68,F8:D1:11:3E:89:52,FC:75:16:78:FC:D3,x,y
0,0,0,0,0,-80,-68,-83,-78,0,0,-79,0,-80,0,0,0,-73,-59,-72,0,0,0,0,-73,-74,0,0,-80,-87,0,-77,0,-86,-84,-87,0,-68,0,0,-79,0,-82,-80,-77,0.0,0.0
0,0,0,-79,0,0,-71,0,-79,0,0,-79,0,-82,0,0,0,-72,-59,-80,0,0,0,0,-74,-73,0,0,-80,0,0,-79,0,-83,-85,-84,0,-73,0,0,-75,0,-84,-82,-80,0.002451,-0.024347
0,0,0,-81,0,-81,-70,0,-78,0,0,-81,0,-81,0,0,0,-75,-61,-73,0,0,0,0,-75,-75,0,0,-81,-86,0,-78,0,0,-82,-83,0,-69,0,0,-74,0,0,0,-79,-0.005421,-0.010265
0,0,0,-80,0,0,-76,0,-79,0,0,-78,0,-83,0,0,0,-74,-61,-75,0,0,0,0,-69,-73,-83,0,-79,0,0,-80,0,0,-81,-83,0,-70,0,0,-75,0,0,0,-78,-0.003029,-0.025881
0,0,0,-78,0,-80,-71,0,-79,0,0,-79,0,-82,0,0,-83,-74,-61,-73,0,0,0,0,-73,-77,0,0,-82,-84,0,-80,0,-84,-82,-85,0,-69,0,0,-76,0,0,-82,-77,-0.008045,-0.032667
-82,0,0,-72,-84,-83,-73,0,0,0,0,0,0,0,0,0,0,-77,-58,-79,0,0,0,0,-75,-71,0,0,0,-78,0,-80,0,0,0,-84,0,-67,0,0,-72,0,-82,-82,-76,0.232412,-0.260233
0,0,0,-78,0,-79,-67,0,-82,0,-80,0,0,0,0,0,0,-79,-60,-80,0,0,0,-77,-73,-68,0,0,0,-86,0,-80,0,0,-78,-77,0,-69,0,0,-72,0,-82,0,-74,0.559498,-0.830608
0,0,-81,-73,-78,-72,-72,-79,0,-81,0,0,0,0,0,0,-81,-72,-65,-73,0,0,0,0,-70,-67,-82,0,-79,-80,-85,-75,0,0,-79,-79,0,-56,0,0,-73,0,-79,-79,-77,2.401377,-1.146879
-83,0,0,-67,-77,-73,-73,-80,-78,0,0,-77,0,0,0,0,-79,-79,-66,-81,-79,-83,0,-80,-64,-65,0,-83,-79,-69,-85,-73,0,-79,0,0,0,-55,-79,-80,-74,0,-82,-79,-77,3.550045,-0.377851
-81,0,0,-71,0,0,-69,-78,0,0,0,0,-79,0,0,0,0,-79,-70,-80,0,0,0,-79,-65,-66,0,0,0,-70,-86,-75,0,-86,0,0,0,-59,0,0,-74,0,-80,-77,-76,3.137592,1.403463
0,0,-80,-72,-77,-80,-74,-81,0,0,-77,0,0,0,-81,0,0,-81,-61,-82,0,0,0,0,-70,-72,0,0,0,-74,-82,-72,0,0,0,0,0,-51,-77,0,-73,0,-80,-80,-75,3.085394,2.835896
0,0,0,-77,-77,-77,-74,-84,0,0,0,0,0,0,0,0,0,-79,-70,-78,-81,0,0,-83,-72,-73,0,0,0,-74,-87,-72,-78,0,0,0,0,-48,-82,0,-79,0,-80,-81,-80,2.933178,4.242273
0,0,0,-82,0,0,-75,0,0,0,0,0,-81,0,0,0,0,-81,-73,-80,-79,0,0,0,-75,-74,0,0,0,-75,0,-83,-85,0,0,0,0,-68,0,0,-85,0,0,0,-82,2.046,4.668875
0,0,0,-83,0,-86,-76,0,0,0,0,0,-81,0,0,0,0,-83,-76,-85,-83,0,0,0,-71,-72,0,0,0,-74,0,-84,0,0,0,0,0,-55,0,0,-80,-82,0,0,0,1.158157,4.525772
0,0,0,-85,0,0,-77,0,0,0,0,0,-79,0,0,0,0,0,-74,-82,0,0,0,0,-78,-73,0,0,0,-75,0,0,0,0,0,0,0,-75,0,0,-83,-84,0,0,0,0.428371,4.141848
0,0,0,-84,0,0,-78,0,0,0,0,0,0,0,0,0,0,-80,-75,-82,0,0,0,0,-70,-78,0,0,0,-78,0,0,0,0,-82,-84,0,-59,0,0,-80,-82,0,0,0,-0.107389,4.269197
0,0,0,-80,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,0,0,0,-71,-78,0,0,0,-72,0,0,0,0,-83,-82,0,-60,0,0,-77,0,0,0,-83,-0.064678,3.174591
0,0,0,0,0,0,-76,0,0,0,0,0,-81,0,0,0,0,-84,-75,0,0,0,0,0,-81,-71,0,0,0,-82,0,-84,0,0,0,0,0,-65,0,0,0,0,0,0,0,-0.140377,3.203844
0,0,0,-83,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,-73,-80,0,0,0,-88,0,-83,0,0,0,0,0,-67,0,0,-82,0,0,0,0,0.492298,2.886389
0,0,0,-82,0,0,-77,0,0,0,0,0,-78,0,0,0,0,0,-70,0,0,0,0,0,-70,-72,0,0,0,-77,0,-80,0,0,0,0,0,-67,0,0,-80,0,0,0,0,2.421932,3.905077
0,0,0,0,0,0,-71,-83,0,0,0,0,-80,0,0,0,0,-84,-71,-82,-81,0,0,0,-68,-83,0,-84,0,-73,0,-82,0,0,0,0,0,-55,0,-84,-84,-81,0,0,0,3.065191,3.869711
0,0,0,-84,0,-83,-82,0,0,0,0,0,-80,-85,0,0,0,-83,-78,-80,-80,0,0,0,-70,-72,0,-79,0,-74,0,0,0,0,0,0,0,-53,0,0,-81,-83,0,-83,0,3.732889,3.348806
0,0,0,-83,-83,0,-82,-83,0,0,0,0,0,0,0,0,0,-83,-73,-84,-84,0,0,-82,0,-75,0,0,0,-75,0,-75,0,0,0,0,0,-59,0,-84,-82,0,0,0,-82,2.79076,2.00741
0,0,0,-76,-79,0,-71,0,0,0,0,0,0,0,-84,0,0,-83,-70,-83,-87,0,0,-81,-67,-69,0,0,-80,-79,-81,-66,0,0,0,0,0,-41,0,0,-66,0,-84,-80,0,2.106323,0.925388
0,0,-85,-71,-83,-80,-72,-79,0,0,0,0,0,0,0,0,0,-78,-64,-79,0,0,0,-85,-71,-69,0,0,-81,-88,0,-84,0,0,0,0,0,-64,-81,0,-69,0,-82,-84,-76,1.449371,0.255167
0,0,0,-74,-80,-80,-76,0,0,0,-77,0,-82,0,-83,0,0,-77,-59,-76,0,0,0,0,-73,-72,0,0,-84,0,0,-87,0,0,0,0,0,-63,0,0,-68,0,-86,-83,-77,0.787039,0.127361
0,0,0,-80,-79,-80,-75,0,-80,0,0,-80,0,0,-82,0,0,-79,-64,-85,0,0,0,-83,-67,-67,0,0,0,-80,0,-71,0,0,-84,-83,0,-66,0,0,-74,0,-83,-82,-74,0.887503,-0.577608
0,0,0,-78,0,-80,-65,0,-81,0,0,-82,0,0,0,0,-82,-79,-64,-81,0,0,0,-82,-74,-64,0,0,0,-81,0,-74,0,0,-81,-80,0,-58,0,0,-66,0,-83,0,-70,2.857229,-1.062801
0,0,-83,0,-82,-82,-68,0,0,0,0,0,0,0,-82,0,-83,-76,-66,-75,0,0,0,-81,-72,-67,0,0,0,-72,0,-85,0,0,0,-82,0,-64,0,0,-70,0,-84,-78,-77,3.623505,0.125751
0,0,0,-76,-79,-75,-71,-74,-79,0,0,0,0,-79,-82,0,0,-76,-70,-76,-82,0,0,0,-65,-65,0,0,0,-74,0,-78,0,0,0,0,0,-78,0,0,-70,0,-78,-80,-77,3.270838,1.878073
0,0,0,0,0,-82,-77,0,0,0,0,0,0,0,0,0,0,-80,-65,-80,-78,0,0,0,-70,-69,0,0,0,-79,0,-78,0,0,0,0,0,-48,0,0,-69,0,-81,-81,-78,4.034069,1.461552
0,0,0,-74,-81,-82,-74,-85,0,0,0,0,0,-79,0,0,0,-78,-67,-78,-80,0,0,0,-67,-71,0,0,0,-76,0,-79,0,0,0,0,0,-41,0,0,-76,0,-81,-80,-75,3.298975,3.24859
0,0,0,0,0,0,-71,-80,0,0,0,0,-89,0,0,0,0,-82,-68,-83,-82,0,0,0,-66,-74,0,0,0,-73,0,-79,-81,0,0,0,0,-66,0,0,-83,0,0,-85,-81,1.947699,3.886658
0,0,0,-80,0,0,-77,0,0,0,0,0,-81,-81,0,0,0,-83,-76,-89,-80,0,0,0,-69,-77,0,0,0,-85,0,0,0,0,0,0,0,-55,-82,0,-83,0,0,-82,-82,1.511219,3.338165
0,0,0,-80,0,0,-79,0,0,0,0,0,0,0,0,0,0,-81,-76,-81,-77,0,0,0,-79,-73,0,0,0,-78,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,1.517466,3.366961
0,0,0,-80,0,0,-79,0,0,0,0,0,0,0,0,0,0,-82,-76,-81,-80,0,0,0,-75,-74,0,0,0,-79,0,-79,0,0,0,0,0,-62,-80,0,-79,0,0,0,-84,1.907642,3.868975
0,0,0,0,0,0,-74,-85,0,0,0,0,-82,0,0,0,0,-79,-66,-79,-79,0,0,0,-76,-74,0,0,0,-77,0,-85,0,0,0,0,0,-60,0,0,0,-81,0,0,-83,2.922283,4.945154
0,0,0,-83,0,0,-84,0,0,0,0,0,-82,0,0,0,0,0,-77,0,-82,0,0,0,-76,-80,0,-83,0,-71,0,-82,0,0,0,0,0,-63,0,0,-83,0,0,0,0,3.274471,5.723251
0,0,0,0,0,0,-86,0,0,0,0,0,-82,0,0,0,0,-82,-78,0,-73,0,0,0,-77,-79,0,-83,0,-78,0,-78,0,0,0,0,0,-60,0,-83,-83,0,0,0,0,3.984493,4.353521
0,0,0,0,0,0,-79,0,0,0,0,0,-78,0,0,0,0,-84,-74,-82,-82,0,0,0,-75,-80,0,0,0,-74,0,-75,0,0,0,0,0,-55,0,0,-79,0,0,0,0,2.99831,3.311871
0,0,0,0,-83,0,-81,-83,0,0,0,0,-83,0,0,0,0,-81,-73,-85,-80,0,0,-85,-75,-77,0,0,0,-83,0,-79,0,0,0,0,0,-63,0,0,-81,-86,0,0,0,2.701511,3.005909
0,0,0,0,0,0,-76,0,0,0,0,0,-81,0,0,0,0,-82,-78,0,-79,0,0,0,-77,-76,0,0,0,-74,0,-80,0,0,-86,0,0,-65,0,-83,-82,-90,0,0,0,2.712048,3.025543
0,0,0,0,0,-79,0,0,0,0,0,0,-78,0,0,0,0,-82,-73,-82,0,0,0,-80,-74,-72,0,0,0,0,0,-74,0,0,0,0,0,-64,0,0,-81,-84,0,0,0,2.857595,2.418039
0,0,0,-83,0,0,-70,0,0,0,0,0,0,0,0,0,0,-81,-73,-80,-86,0,0,-82,-72,-73,0,0,0,-77,0,-71,0,0,0,0,0,-51,0,-83,-80,0,0,-84,-82,2.379679,1.252508
0,0,0,-76,0,-82,-69,0,0,0,0,0,-81,0,0,0,0,-80,-72,-77,0,0,0,0,-72,-73,0,0,0,-80,0,-83,0,0,-82,0,0,-63,-83,0,-75,0,-84,-82,-80,1.451406,0.885532
0,0,-86,-77,0,-80,-74,-82,-83,0,0,-84,0,0,0,0,-82,-77,-64,-77,0,0,0,-82,-72,-75,0,0,0,-74,0,-80,0,0,-81,-82,0,-74,0,0,-80,0,-79,-82,-79,0.537472,1.74794
0,0,-84,-73,-83,-77,-78,-82,0,0,-74,0,0,0,-81,0,0,-83,-59,0,0,0,0,0,-71,-71,0,0,0,-79,0,-74,0,0,0,0,0,-66,0,0,-76,0,-83,0,-76,0.738678,2.288324
0,0,-81,0,0,0,-69,-81,-83,0,0,-82,0,-83,0,0,0,-82,-59,-81,0,0,0,0,-71,-69,0,0,0,-81,0,-80,0,0,0,0,0,-68,0,0,-78,0,-85,0,-70,0.733547,2.277353
0,0,-87,-73,0,-80,-67,0,0,0,-77,-82,0,0,0,0,0,-78,-56,-79,0,0,0,0,-69,-68,0,0,-83,-76,0,-71,0,0,0,0,0,-59,0,0,-74,0,-81,-83,-70,0.18837,2.094339
0,0,-81,-75,-78,-78,-66,-83,-78,0,-79,-81,0,-81,0,0,0,-75,-54,-73,0,0,0,-84,-73,-70,0,0,0,-78,0,-73,0,0,-78,-78,0,-65,0,0,-72,0,-82,-80,-70,-0.404455,1.404354
0,0,-85,-78,-81,-76,-80,0,0,0,-81,0,0,0,0,0,0,-82,-61,-81,0,-85,-84,0,-75,-77,0,0,0,-78,0,-74,0,0,-84,0,0,-65,0,0,-77,-83,-83,0,-80,0.970789,-0.232834
0,0,0,-71,0,-77,-77,-83,0,0,-81,0,0,0,-83,0,0,-78,-62,-80,0,0,0,0,-70,-74,0,0,0,-80,0,-80,0,0,0,0,0,-62,0,0,-76,0,-81,-83,-82,0.839621,-0.956993
0,0,0,-70,-81,-75,-76,0,0,0,-82,0,0,0,0,0,0,-78,-68,-77,0,0,0,-84,-74,-69,0,0,0,-78,0,-81,0,0,0,0,0,-67,0,0,0,0,0,-84,-81,0.906534,-1.321772
-83,0,0,-76,0,-81,-69,0,0,0,0,-81,0,0,0,0,0,-77,-68,-78,0,0,0,-83,-72,-66,0,0,0,-77,0,-80,0,0,0,0,0,-66,0,0,-72,0,-83,-79,-75,1.609531,-1.614834
0,0,0,-77,0,-76,-73,0,-81,0,0,-82,0,0,0,0,0,-79,-66,-78,-83,0,0,-81,-71,-68,0,0,0,-72,0,-76,0,0,-76,-79,0,-55,0,0,-71,0,-82,-82,-81,2.866171,-0.530355
0,0,-84,-73,0,-80,-75,0,-79,0,-86,-80,-80,0,0,0,0,-82,-70,-80,-84,0,0,-83,-72,-66,0,0,-81,-78,0,-75,0,0,-83,0,0,-64,0,0,-72,0,-81,-83,-80,3.403811,0.175701
0,0,-86,-72,0,0,-76,-80,0,0,-80,0,0,0,0,0,0,-82,-69,-82,-84,0,0,0,-75,-72,0,0,0,-73,0,-77,0,0,0,0,0,-68,0,0,-72,0,-80,-83,-79,2.886801,1.458752
0,0,-83,-77,-79,0,-71,-78,0,0,0,0,0,-84,0,0,0,-79,-64,-79,-83,0,0,0,-71,-76,0,0,0,-68,0,-80,0,0,0,0,0,-64,0,0,-73,0,0,-81,-75,3.041393,2.261837
0,0,0,-81,-79,-83,-69,-80,0,0,-82,0,0,-80,0,0,0,-80,-68,-78,0,0,0,0,-70,-71,0,0,0,-78,-83,-74,0,0,0,0,0,-47,-78,0,-71,0,-81,-83,-76,3.184778,3.551867
0,0,0,-82,0,-81,-82,0,0,0,0,0,-84,0,0,0,0,-82,-67,-81,0,0,0,0,-71,0,0,0,0,-78,0,-81,0,0,0,0,0,-65,0,0,-77,0,0,0,-82,3.064957,4.363115
0,0,0,-85,0,-86,-78,-85,0,0,0,0,0,0,0,0,0,-82,-76,0,-87,0,0,0,-80,-75,0,0,0,-73,0,-76,0,0,0,0,0,-60,0,0,-83,0,0,0,0,2.334158,4.880316
0,0,0,0,0,-84,-83,0,0,0,0,0,-82,0,0,0,0,-83,-71,-83,-79,0,0,0,-76,-77,0,-83,0,-79,0,0,0,0,0,0,0,-65,0,0,-83,0,0,0,0,1.26037,4.469677
0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,-72,-83,0,0,0,-74,0,-84,0,0,0,0,0,-60,0,0,-81,-82,0,0,0,0.607929,4.294506
0,0,0,-82,0,0,-77,0,0,0,0,0,0,0,0,0,0,-82,-68,-82,0,0,0,0,-73,-71,0,0,0,-76,0,-83,0,0,-83,-82,0,-66,0,0,-81,-81,0,0,0,0.239964,3.662426
0,0,0,-86,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,-80,-72,0,0,0,-76,0,0,0,0,0,0,0,-69,0,0,-80,0,0,0,0,1.156199,2.754848
0,0,0,-82,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,0,0,-77,-76,0,0,0,-80,0,-82,0,0,0,0,0,-61,0,-83,-77,0,0,0,-81,1.716084,2.76506
0,0,0,0,0,0,-75,0,0,0,0,0,-81,0,0,0,0,0,-72,0,0,0,0,0,-76,-77,0,0,0,-83,0,0,0,0,0,0,0,-68,0,0,-82,0,0,0,0,1.427952,2.690205
0,0,0,0,0,0,-69,0,0,0,0,0,-81,0,0,0,0,-80,-72,0,-86,0,0,0,-78,-73,0,0,0,-69,0,-77,0,0,0,0,0,-58,0,0,-81,0,0,0,0,2.302341,4.86932
0,0,0,-83,0,0,-80,0,0,0,0,0,0,0,0,0,0,-83,-71,-86,-78,0,0,0,-81,-82,0,0,0,-73,0,-83,0,0,0,0,0,-62,0,0,0,0,0,0,0,3.252981,3.95137
0,0,0,-85,0,0,-81,-86,0,0,0,0,0,0,0,0,0,0,-72,0,-80,0,0,0,-77,-73,0,0,0,-72,0,-81,0,0,0,0,0,-56,0,-84,0,-83,0,0,0,3.637966,3.345385
0,0,0,-82,-77,-83,-77,-84,0,0,0,0,0,0,0,0,0,-83,-74,-82,-85,0,0,0,-80,-78,0,0,0,-77,0,-74,0,0,0,0,0,-55,0,0,-81,0,0,0,0,2.782055,2.174753
0,0,0,-79,0,0,-73,-78,0,0,0,0,0,0,0,0,0,-84,-70,-84,-81,0,0,0,-80,-72,0,0,0,-79,0,-75,0,0,0,0,0,-62,-82,0,-81,0,0,0,0,3.342142,1.417013
0,0,0,0,-77,0,-73,-85,0,-81,0,0,0,-80,0,0,0,-81,-76,-81,0,0,0,-82,-71,-74,0,0,0,-80,-85,-78,0,0,0,0,0,-47,0,0,-77,0,-80,-84,0,4.260855,1.811142
